cmd,time,loc,pref
이태원에서 소개팅할건데 분위기 좋고 맛도 괜찮은 레스토랑 추천해줘!,없음,이태원,분위기 좋고 맛도 괜찮은 레스토랑
요즘 유행하는 음식이 뭐야?,없음,없음,없음
서울 근교로 드라이브 갈만한 곳 있나요?,없음,서울,드라이브 코스
홍대입구역 주변에 있는 한식집 추천해주세요.,없음,홍대입구역,한식
강남역 주변에 맛집 추천해주세요.,없음,강남역,없음
서울 근교로 드라이브 갈만한 곳이 있을까요?,없음,서울,드라이브 코스
제주도 여행지 중 꼭 가봐야 하는 곳이 있나요?,없음,제주도,제주도 여행지
건대입구역 근처 괜찮은 술집 알려주세요.,저녁,건대입구역,술집
강남구청역 근처에 맛있는 초밥집이 어디인가요?,없음,강남구청역,맛있는 초밥
"강남에서 소개팅하기로 했는데, 괜찮은 레스토랑 좀 추천해주세요.",없음,강남,소개팅할만한 레스토랑
강남역이나 신논현역 근처에 괜찮은 카페가 있을까요?,없음,강남역,분위기 좋은 카페
저녁메뉴로 뭐가 좋을까?,저녁,서울,없음
강남역에서 점심 먹을만한 곳 추천해주세요.,없음,강남역,없음
이태원에 분위기 좋은 레스토랑 추천해주세요.,저녁,이태원,분위기가 좋아야 함
이 근방에 괜찮은 카페 있을까요?,없음,없음,카페
서울시청 근처의 괜찮은 레스토랑이 있나요?,저녁,서울시청,레스토랑
혹시 건대입구 쪽에 괜찮은 술집 있나요?,저녁,건대입구,분위기 좋은 술집
강남역 근처에서 점심으로 먹기 좋은 곳 추천해주세요.,점심,강남역,없음
서울역 근처에 혼밥하기 좋은 식당 있나요?,없음,서울역,혼밥 가능한 식당
강남역에서 분위기 좋고 조용한 술집 추천해주세요.,저녁,강남역,조용함
강남역에서 여자친구와 데이트 할만한 장소를 찾고 있어요.,없음,강남역,여자친구와 데이트할 만한 장소
강남역 주변에 맛있는 파스타집 좀 알려줄래?,없음,강남역,맛있는 파스타
강남역에서 소개팅할만한 분위기 좋은 레스토랑 추천해주세요.,없음,강남역,소개팅
상수역 근처에서 점심으로 먹을만한 곳 있나요?,없음,상수역,없음
강남역 근처에 혼밥하기 좋은 곳 알려주세요.,없음,강남역,혼밥
강남역에서 가까운 맛있는 고기집 추천해주세요.,점심,강남역,맛있는 고기집
강남구청역 근처 술집 추천 좀 해주세요~,저녁,강남구청역,술집
내일 저녁에 강남역 근처에서 데이트하기 좋은 장소가 있을까요?,저녁,강남역,데이트 코스
강남역 근처에 맛있는 중국집 추천해주세요.,없음,강남역,맛있는 중국집
강남역 주변에 괜찮은 이자카야가 있나요?,없음,강남역,이자카야
홍대입구역 근처에 점심으로 먹기 좋은 백반집 추천해주세요.,점심,홍대입구역,백반
한양대역쪽에 분위기 좋고 맛있는 파스타집 추천해주세요!,없음,한양대학교,분위기 좋고 맛있는 파스타집
노원역에서 제일 가까운 영화관이 어디야?,없음,노원역,가장 가까운 영화관
강남역 주변에 혼자 술 마실만한 곳 있나요?,없음,강남역,혼자 술 마시기 좋은 곳
신촌이나 홍대 쪽에 분위기 좋은 술집 좀 알려주세요~,저녁,신촌,분위기 좋은 술집
오늘 저녁 7시에 신촌에서 먹을만한 것을 추천해줘.,저녁,신촌,없음
홍대에서 소개팅하기 좋은 장소 좀 알려주세요.,없음,홍대,소개팅
서울 시내의 괜찮은 스시집 알려줘.,없음,서울 시내,괜찮은 스시집
강남역 주변에 분위기 좋은 카페를 알고 싶어요.,없음,강남역,분위기 좋은 카페
내일 친구들이랑 술 마시러 가는데 어디가 좋을까?,저녁,없음,없음
여기서 가까운 영화관이 어디야?,없음,없음,영화관
강남역 주변의 맛집을 추천해주세요.,없음,강남역,없음
강남역에서 친구들과 모임할만한 장소가 있을까요?,없음,강남역,지인과의 모임
홍대입구역 근처에 가성비 좋은 파스타집 알려주세요.,없음,홍대입구역,가성비 좋은 파스타집
강남역 주변의 괜찮은 레스토랑을 찾고 있어요.,없음,강남역,괜찮은 레스토랑
여기서 제일 가까운 카페가 어디야?,없음,없음,가장 가까운 카페
이태원에서 가장 맛있는 피자집이 어디인가요?,없음,이태원,피자
강남역 근처에 가성비 좋은 초밥집 있나요?,없음,강남역,가성비 좋은 초밥집
강남역 근처에 가성비 좋은 파스타집 있나요?,없음,강남역,가성비 좋은 파스타
홍대입구역 근처에서 친구들과 술 한잔 할 수 있는 술집 알려주세요.,저녁,홍대입구역,술집
주말에 친구들이랑 홍대 클럽 갈건데 어디가 제일 핫해요?,없음,홍대,가장 핫한 클럽
이 근방에 맛있는 고깃집 있나요?,없음,없음,고기가 맛있어야 함
제주도 여행지 중 사진 찍기 좋은 곳은 어디인가요?,없음,제주도,사진 찍기 좋은 곳
저녁으로 뭐 먹지?,저녁,없음,없음
강남역 주변에 혼자 밥먹기 좋은 곳 알려주세요.,없음,강남역,혼밥
종로3가역 주변에 괜찮은 카페 있나요?,없음,종로3가역,분위기 좋은 카페
홍대에서 분위기 좋은 술집 어디 있을까요?,저녁,홍대,분위기 좋은 술집
건대입구역 주변 분위기 좋은 카페 있나요?,없음,건대입구역,분위기 좋은 카페
홍대입구역 근처에 맛집 좀 알려주세요~,없음,홍대입구역,없음
내일 저녁으로 먹을 만한 거 추천해줘.,저녁,서울,없음
강남역에서 회식하기 좋은 곳 좀 알려주세요!!,없음,강남역,회식장소
점심 먹을건데 어디가 좋을까?,점심,없음,없음
강남역 주변에 분위기 좋은 레스토랑이나 술집 있을까요?,저녁,강남역,"분위기 좋은 레스토랑, 술집"
서울 근교로 드라이브 갈만한 곳을 찾고 있어요. 어디가 좋을까요?,저녁,서울,드라이브
부산에서 해산물을 먹을 수 있는 맛집을 알고 있나요?,없음,부산,해산물
강남역 근처에 혼밥하기 좋은 식당 있나요?,없음,강남역,혼밥
신촌이나 이대쪽에 맛있는 고기집 좀 알려주세요~~,없음,신촌,고기
성수동에 위치한 분위기 좋은 카페 추천해주세요.,없음,성수동,분위기 좋은 카페
강남역 주변에 혼밥하기 좋은 음식점 있나요?,점심,강남역,혼밥 가능한 곳
서울에서 가장 맛있는 빵집은 어디인가요?,없음,서울,빵
강남역 근처에서 점심으로 먹기 좋은 한식집 추천해주세요.,점심,강남역,한식
여기서 가까운곳에 치킨 맛있는 집 있어?,없음,없음,치킨
회사에서 단체로 워크샵 가려고 하는데 장소 좀 추천해줄래?,없음,없음,워크숍
신촌에서 친구들이랑 갈만한 술집 추천해주세요.,저녁,신촌,술집
신촌이나 홍대 쪽에 괜찮은 술집 있나요?,저녁,신촌 홍대,분위기 좋고 맛있는 술집
강남역 근처에 괜찮은 식당 있나요?,없음,강남역,없음
홍대입구역 근처에 분위기 좋은 카페가 어디 있을까요?,없음,홍대입구역,분위기 좋은 카페
이태원의 분위기 좋은 술집 추천해주세요.,저녁,이태원,분위기가 좋아야 함
홍대입구역 근처 분위기 좋은 술집 알려줘.,저녁,홍대입구역,분위기 좋은 술집
홍대입구역 근처에 괜찮은 술집이 어디있을까요?,저녁,홍대입구역,술마시기 좋은 곳
제주도 여행계획중인데 관광지추천해주세요.,없음,제주도,없음
서울 근교로 당일치기 여행 갈 만한 곳 있을까요?,없음,서울,당일치기 여행
홍대입구역에서 제일 가까운 방탈출 카페가 어디야?,없음,홍대입구역,방탈출 카페
여기서 제일 가까운 맛집이 어디야?,없음,없음,없음
강남역이나 신논현역 근처에 맛있는 족발집 추천해주세요!,없음,강남역,족발
홍대입구역 근처 맛집 추천해주세요.,없음,홍대입구역,없음
내일 저녁 메뉴 추천 좀 해주세요~,저녁,없음,저녁메뉴
왕십리 엔터식스 안에 괜찮은 식당 뭐 있어??,없음,왕십리,밥집
강남역 근처의 맛있는 음식점 좀 추천해주세요.,점심,강남역,없음
강남역 맛집 추천해주세요.,없음,강남역,없음
강남역 근처에 맛있는 초밥집이 어디야?,없음,강남역,맛있는 초밥
"내일 저녁 약속 있는데, 어디서 뭘 먹어야 할까요?",저녁,없음,없음
오늘 저녁에 갈만한 맛집 좀 추천해줘.,저녁,없음,없음
강남역에서 회식하기 좋은 곳을 알려주세요.,없음,강남역,회식장소
이태원에서 분위기 좋은 레스토랑이나 카페를 알려주세요.,없음,이태원,"분위기 좋은 레스토랑, 카페"
강남역에서 가까운 분위기 좋은 레스토랑 추천해주세요.,없음,강남역,분위기 좋은 레스토랑
이태원에 분위기 좋은 술집 알려주세요.,저녁,이태원,술집
서울에서 가장 맛있는 중국집은 어디야?,없음,서울,없음
요즘엔 무슨 영화가 재밌나요?,없음,없음,재밌는 영화
서울시청 근처에 맛집 좀 알려주세요.,없음,서울시청,없음
여기서 가장 가까운 편의점이 어디야?,없음,없음,없음
서울역 근처 맛집을 알고 싶어요.,없음,서울역,없음
종로3가 보쌈골목 어디가 맛있나요?,없음,종로3가,보쌈골목
종로3가 쪽으로 회식하기 좋은 곳 있을까요?,없음,종로3가,회식장소
강남역 주변 맛집 좀 알려주세요.,없음,강남역,없음
강남역 주변에 가성비 좋은 맛집 추천해주세요~,없음,강남역,없음
내일 저녁 7시에 강남역 부근에서 여자친구랑 갈만한 레스토랑 찾아줘.,저녁,강남역,여자친구와 함께 가기 좋은 곳
"강남역에서 점심먹을건데, 맛있는곳좀 알려주세요!",점심,강남역,없음
홍대에서 점심으로 먹기 좋은곳 추천해주세요~,점심,홍대,없음
명동에서 혼밥하기 좋은 곳 추천해주세요.,없음,명동,혼밥하기 좋은 곳
강남역 주변에 분위기 좋은 레스토랑 추천해주세요.,없음,강남역,분위기가 좋아야 함
역삼동에 괜찮은 횟집 추천해주세요.,저녁,역삼동,회
내일 아침은 뭘 먹을까요?,아침,없음,없음
여기 어때?,없음,없음,없음
강남역 부근의 맛있는 고깃집을 알려줘.,없음,강남역,고기가 맛있는 식당
강남역 근처의 스테이크 하우스를 추천해주세요.,점심,강남역,스테이크 하우스
여기서 가장 가까운 카페가 어디야?,없음,없음,없음
여기서 가장 가까운 영화관이 어디야?,없음,없음,제일 가까운 영화관
이태원의 분위기 좋은 레스토랑 좀 알려주세요.,없음,이태원,분위기 좋은 레스토랑
오늘 저녁은 뭘 먹을까요?,저녁,서울특별시 종로구,없음
강남역 근처에 분위기 좋은 술집 추천해주세요.,저녁,서울 강남구,분위기 좋은 술집
요즘 유행하는 패션이 무엇인가요?,없음,없음,최신 트렌드
점심 뭐먹지?,점심,없음,없음
이태원에서 유명한 피자집 추천해줘.,없음,이태원,피자
홍대입구역에서 가까운 분위기 좋은 카페 어디 있나요?,없음,홍대입구역,분위기 좋은 카페
이번주 주말에 가족끼리 외식하기 좋은 식당 알려줘.,없음,없음,가족외식
강남역 주변에 괜찮은 카페 있나요?,없음,강남역,커피 마실만한 곳
서울 근교 드라이브 코스 추천해주세요.,없음,서울,드라이브 코스
서울 근교 드라이브 코스 추천해줘!,없음,서울,드라이브 코스
이태원의 괜찮은 칵테일바 추천해주세요.,없음,이태원,칵테일바
"서울 근교로 드라이브를 가려고 하는데, 분위기 좋은 카페가 어디 없을까요?",없음,서울,분위기 좋은 카페
"서울 근교로 드라이브를 가려고 하는데, 분위기 좋은 카페나 식당이 있을까요?",없음,서울,분위기 좋은 카페 또는 식당
점심으로 뭐 먹지?,점심,없음,없음
홍대입구역 근처 맛집좀 알려주세요.,없음,홍대입구역,없음
이태원의 분위기 좋은 레스토랑을 찾아봐 주세요.,저녁,이태원,분위기 좋은 레스토랑
요즘 핫한 가로수길 맛집을 알려주세요.,없음,가로수길,없음
서울에 분위기 좋은 카페 알려주세요.,점심,서울,분위기 좋은 카페
강남역 주변에 주차 가능한 레스토랑 있을까요?,점심,강남역,주차 가능한 레스토랑
한양대 주변 카페 중 공부하기 좋은 곳이 있나요?,없음,한양대학교,공부하기 좋은 장소
강남역 주변에 혼밥하기 좋은 곳 있나요?,없음,강남역,혼밥하기 좋은 곳
강남역 근처에서 점심 먹기 좋은 곳 알려주세요.,점심,강남역,한식 위주
한양대역 주변으로 괜찮은 밥집 있나요?,없음,한양대학교 역,"한식, 일식 등"
압구정로데오에서 분위기 좋은 술집 알려주세요~,저녁,압구정로데오,술집
서울 근교로 드라이브 갈만한 곳 알려주세요.,없음,서울,드라이브 코스
서울대학교병원 근처에 맛집이 있나요?,없음,서울대학교병원,없음
오늘 저녁 뭐 먹지?,없음,없음,저녁 메뉴
홍대에서 분위기 좋고 맛있는 술집 좀 알려줘!,저녁,홍대,"분위기, 맛"
강남역에서 소개팅하기 좋은 레스토랑 추천해주세요.,없음,강남역,소개팅
서울역 근처 맛집 알려줘.,점심,서울역,없음
강남역 주변 맛집 추천해주세요.,점심,강남역,없음
강남역에서 점심으로 먹기 좋은 곳 추천해주세요~,없음,강남역,없음
강남역 주변에 맛있는 술집 추천해주세요.,저녁,강남역,맛있는 술집
지금 홍대인데 어디 갈까?,없음,홍대,갈만한 곳
강남역 쪽에 분위기 좋고 맛있는 파스타집 알려주세요.,점심,강남역,"분위기, 맛"
경기도 수원시에 위치한 카페 중 공부하기 좋은 곳이 있나요?,없음,경기도 수원시,공부하기 좋은 카페
사당역 근처에 괜찮은 술집 좀 알려줘요~,저녁,사당역,괜찮은 술집
강남역이나 역삼역 근처에 괜찮은 횟집 있나요?,없음,강남역,괜찮은 횟집
홍대입구역 근처의 분위기 좋은 레스토랑을 알려주세요.,없음,홍대입구역,분위기 좋은 레스토랑
오늘 점심은 뭐 먹을까요?,점심,없음,없음
강남구청역 주변에 맛있는 파스타집이 어디있나요?,없음,강남구청역,파스타
강남역 주변의 괜찮은 초밥집은 어디일까요?,없음,강남역,초밥
서울역 근처에 맛있는 곳 좀 알려주세요.,없음,서울역,맛잇는 곳
홍대입구역 근처의 맛집을 알려주세요.,없음,홍대입구역,없음
오늘 저녁으로 먹을만한 메뉴 추천해줄래?,없음,없음,없음
서울에서 가까운 바다 어디인가요?,없음,서울,바다
강남역 주변에 괜찮은 레스토랑 좀 알려줘.,없음,강남역,데이트하기 좋은 장소
점심으로 먹기 좋은 음식점 추천해주세요.,점심,없음,식당
혹시 강남쪽에 맛있는 고깃집 아는 곳 있어?,없음,강남구,고기
강남역에서 분위기 좋은 술집 추천해주세요.,저녁,강남역,분위기 좋은 술집
강남역에 분위기 좋은 카페 있나요?,없음,강남역,분위기 좋은 곳
홍대입구역 5번 출구 쪽으로 괜찮은 술집 알려줘.,저녁,홍대입구,술 마시기 좋은 곳
서울 근교로 드라이브 갈 만한 곳이 어디가 있을까요?,없음,서울,드라이브
강남역 주변에 괜찮은 술집 있나요?,저녁,강남역,없음
서울에서 제일 맛있는 떡볶이 집은 어디인가요?,없음,서울,떡볶이
사당역 근처에 양꼬치 무한리필 되는 곳 아시나요?,없음,사당역,양꼬치 무한리필
강원도 속초여행 계획중인데 가볼만한곳 추천해주세요.,없음,강원도 속초,없음
강남역 주변에 분위기 좋은 레스토랑이나 카페가 있나요?,점심,강남역,분위기 좋은 레스토랑 또는 카페
건대입구쪽에 괜찮은 술집 있어?,저녁,건대입구,술을 마실 수 있는 곳
여자친구와 데이트하기 좋은 장소 추천해주세요.,없음,서울,데이트 코스
강남역 주변의 분위기 좋은 레스토랑 좀 알려줘.,없음,강남역,분위기 좋은 레스토랑
오늘 저녁 뭐 먹지?,없음,없음,없음
오늘 저녁은 뭐 먹지?,저녁,없음,미정
강남역 근처 맛있는 고기집 추천해주세요~,없음,강남역,맛있는 고기집
가로수길 카페 추천해주세요~,없음,가로수길,카페
홍대입구역 근처에 혼밥하기 좋은 곳 알려주세요.,없음,홍대입구역,혼밥하기 좋은 곳
지금 내가 어디게?,없음,없음,없음
홍대나 합정 쪽에 조용한 카페가 있을까요?,없음,홍대,조용한 카페
성신여대 근처에 혼술하기 좋은 맥주집 추천해주세요.,없음,성신여대,혼술하기 좋은 맥주집
혹시 오늘 저녁 같이 드실래요?,없음,없음,없음
신촌에서 혼밥하기 좋은곳 있나요?,없음,신촌,혼밥
저녁으로 뭘 먹으면 좋을까?,없음,없음,없음
친구들이랑 호캉스 가려고 하는데 어디가 좋을까요?,없음,없음,호텔
강남역 주변에 소개팅할만한 곳 있나요?,없음,강남역,소개팅
종로쪽에 괜찮은 술집 있을까요?,저녁,종로구,술마시기 좋은 곳
강남역 주변에 맛있는 고기집 있나요?,점심,강남역,고기가 맛있는 집
강남역에서 가까운 곳으로 맛집을 알려주세요.,없음,강남역,없음
오늘 저녁은 뭐 먹지?,저녁,없음,없음
홍대입구역 근처에 혼밥하기 좋은 곳 있나요?,없음,홍대입구역,혼밥하기 좋은 장소
강남역 근처 혼밥하기 좋은 음식점 추천해주세요.,점심,강남역,혼밥 가능한 곳
서울 근교 드라이브 코스 추천해줘.,없음,서울,드라이브 코스
홍대입구역 근처 맛집 추천해주세요.,없음,홍대입구역,없음
홍대입구역 주변에 괜찮은 카페가 있을까요?,없음,홍대입구역,카페
홍대근처에 괜찮은 초밥집있나요?,없음,홍대입구역,초밥
가로수길에서 분위기 좋은 레스토랑 추천해주세요.,없음,가로수길,분위기 좋은 레스토랑
건대입구쪽에 맛집 추천해주세요!,없음,건대입구,없음
혹시 여기서 가까운 곳에 괜찮은 카페 있나요?,없음,없음,주변에 위치한 카페
강남역 주변의 한식집 추천해 주세요.,없음,강남역,한식
분위기 좋은 카페를 찾고 있어요.,없음,없음,분위기 좋은 카페
강남역 주변에 맛있는 파스타집 있나요?,없음,강남역,맛있는 파스타
강남역 주변에 혼자서 밥 먹을만한 곳이 어디있을까요?,없음,강남역,혼밥 가능한 식당
건대 주변에 가성비 좋은 초밥집이 어디야?,없음,건대,가성비 좋은 초밥집
홍대입구역 쪽에 괜찮은 술집 추천해줘.,저녁,홍대입구역,맛있는 안주가 있는 술집
강남역 근처에 와인과 함께 식사할 수 있는 곳이 있나요?,없음,강남역,와인
서울역 근처에 분위기 좋은 카페가 있나요?,없음,서울역,분위기 좋은 카페
서울 근교로 드라이브 갈만한 곳이 있을까요?,없음,없음,드라이브
"제주도 여행을 가려고 하는데, 숙소는 어디가 좋을까요?",없음,제주도,숙소
이태원에서 점심으로 파스타를 먹을 수 있는 곳이 있을까요?,점심,이태원,파스타
이번 주말에 뭐하지?,없음,없음,없음
강남역 근처 혼밥하기 좋은 식당 추천해주세요.,점심,강남역,혼밥
강남역 주변에 분위기 좋은 카페가 어디있을까요?,없음,강남역,분위기 좋은 카페
서울시립대 근처에 맛있는 집이 어디야?,없음,서울시립대,없음
저녁으로 먹기 좋은 곳 추천해 주세요!,저녁,없음,없음
홍대쪽에 마라탕이나 훠궈 괜찮은데 추천해주세요!,없음,홍대,"마라탕, 훠궈"
신림역 근처에 가성비 좋은 술집 추천해주세요.,저녁,신림역,가성비 좋은 술집
"지금 강남역 쪽으로 가고 있는데, 저녁 먹을만한 곳 추천해주세요.",없음,강남역,없음
홍대에서 가장 맛있는 치킨집은 어디인가요?,없음,홍대입구역,치킨
강남역 근처 카페 좀 알려주세요!,없음,강남역,카페
이태원 클럽 어디가 핫하니?,없음,이태원,클럽
신사역 근처에서 저녁으로 먹기 좋은 식당을 추천해주세요.,저녁,신사역,없음
